id,target
0,0
2,0
3,0
9,0
11,0
12,0
21,1
22,0
27,0
29,0
30,0
35,0
42,0
43,0
45,0
46,1
47,1
51,1
58,1
60,1
69,1
70,1
72,0
75,1
84,0
87,1
88,1
90,1
94,1
99,0
101,0
103,0
106,1
108,0
111,1
115,0
116,0
122,0
123,1
124,1
125,0
127,0
140,0
142,0
147,1
148,0
150,1
152,1
154,1
155,1
166,1
167,1
169,1
177,1
179,1
181,1
186,1
188,1
189,0
192,0
200,0
202,1
206,1
207,1
214,1
217,1
223,0
224,1
227,1
228,0
230,0
233,1
234,1
236,1
239,1
250,1
255,1
257,1
259,0
275,0
278,0
282,0
284,0
286,0
288,1
292,1
295,0
300,1
304,0
305,0
306,0
308,0
311,1
317,0
319,1
323,0
324,0
325,0
326,1
333,0
339,0
342,0
343,0
350,0
351,1
357,0
359,1
362,0
366,0
367,0
369,1
373,1
374,1
376,0
377,0
378,0
379,1
382,1
385,1
387,0
388,1
391,1
392,1
395,1
399,0
400,1
403,0
405,0
408,0
411,0
414,0
416,1
417,1
422,0
425,0
428,0
430,0
431,1
433,0
434,1
439,0
441,0
449,0
458,0
460,0
464,0
473,0
488,1
491,0
494,1
497,0
500,1
505,0
507,1
508,0
510,0
511,0
515,1
525,0
529,0
532,0
534,0
537,0
539,1
541,0
545,0
547,1
548,1
549,0
553,1
554,0
555,1
557,1
562,1
566,0
572,1
573,0
582,0
586,0
587,0
590,1
591,0
593,0
595,0
596,0
597,1
601,0
602,0
605,1
610,0
616,1
618,0
620,0
626,0
627,0
629,1
632,0
634,1
639,0
645,1
647,1
648,0
650,0
663,1
666,0
668,1
670,0
673,1
676,1
678,0
692,0
693,0
694,1
695,1
696,1
698,1
701,1
703,1
707,1
708,0
711,1
715,1
718,0
722,1
723,1
733,1
741,1
742,1
743,1
747,0
749,0
750,0
756,1
757,1
760,0
764,0
765,1
766,0
768,0
769,0
771,1
772,0
776,0
778,1
780,1
785,0
789,0
792,0
793,0
811,1
813,0
816,0
821,0
824,0
825,0
827,1
830,1
831,0
839,1
844,1
847,1
850,1
854,1
855,1
858,1
861,1
862,0
865,1
869,1
879,1
880,0
887,0
889,1
897,1
900,1
901,0
904,1
908,0
909,1
910,0
913,0
914,0
917,1
918,1
920,1
922,1
924,1
925,0
927,1
933,0
937,1
943,0
949,0
950,1
954,1
966,0
967,0
969,0
970,1
973,1
975,1
980,1
988,0
989,0
995,1
1000,0
1003,0
1007,1
1011,1
1012,1
1013,1
1014,1
1016,1
1019,1
1025,1
1027,0
1028,1
1030,0
1033,1
1034,0
1039,0
1046,0
1047,0
1053,0
1055,1
1056,1
1059,0
1060,0
1063,1
1064,0
1068,0
1076,0
1086,1
1087,1
1089,1
1092,0
1095,0
1096,1
1097,1
1100,1
1101,0
1107,1
1108,1
1111,1
1115,1
1116,1
1121,1
1125,1
1127,1
1131,1
1133,1
1135,0
1137,0
1140,0
1144,1
1147,0
1148,0
1150,0
1158,0
1159,1
1161,1
1163,1
1165,1
1169,0
1171,0
1172,1
1176,1
1180,0
1184,1
1186,0
1187,0
1192,1
1193,0
1194,1
1197,1
1200,1
1205,1
1210,0
1216,0
1220,0
1231,1
1233,0
1246,1
1247,0
1248,0
1255,0
1256,1
1257,1
1258,0
1260,0
1261,1
1265,0
1266,0
1268,0
1274,0
1281,1
1285,1
1286,0
1291,1
1292,0
1295,1
1299,0
1306,1
1310,1
1311,1
1313,1
1314,0
1322,0
1323,0
1325,1
1329,1
1330,1
1333,1
1336,1
1339,0
1342,1
1344,0
1355,0
1357,0
1358,1
1359,1
1364,1
1366,0
1367,1
1370,1
1373,0
